가마로강정 석촌점, 02-412-0375, 서울특별시 송파구 석촌동 295-11, 서울특별시 송파구 가락로 111 영보빌딩, 321353, 544753
오븐치킨과호프, 02-2042-3003, 서울특별시 송파구 석촌동 273-5 102호, 서울특별시 송파구 가락로 94, 321210, 544668
빈스, 050-4570-3854, 서울특별시 송파구 석촌동 150-1 1층, 서울특별시 송파구 석촌호수로18길 27, 320793, 545107
신화푸드, 050-8028-5244, 서울특별시 송파구 석촌동 274-14, 서울특별시 송파구 가락로12길 5 지하1층 B2호, 321104, 544569
88포차, 02-6408-9881, 서울특별시 송파구 석촌동 6-8, 서울특별시 송파구 백제고분로33길 23-5, 320488, 545112
바삭바삭, 02-6401-8484, 서울특별시 송파구 석촌동 275-14, 서울특별시 송파구 송파대로37길 32, 321387, 544666
을지로골뱅이, 02-2042-2288, 서울특별시 송파구 석촌동 11-20, 서울특별시 송파구 백제고분로33길 11 애신빌딩, 320506, 545009
위드, 02-420-1988, 서울특별시 송파구 석촌동 297-17, 서울특별시 송파구 송파대로37길 4, 321595, 544598
밀러타임 석촌점, 02-415-9911, 서울특별시 송파구 석촌동 1-1 신동아로잔뷰 106호, 서울특별시 송파구 석촌호수로 188 신동아 로쟌뷰, 320427, 545285
피쉬앤그릴 석촌역점, 02-413-7334, 서울특별시 송파구 석촌동 282-2 3번지, 서울특별시 송파구 백제고분로40길 16 서광빌딩, 321203, 544936
비어캐빈 송파사거리점, 070-8658-2413, 서울특별시 송파구 석촌동 272-26, 서울특별시 송파구 가락로 87, 321145, 544668
BBQ 송파점, 050-4457-7265, 서울특별시 송파구 송파2동 100-1 1층, 서울특별시 송파구 송이로 18 성지빌딩, 322026, 544953
교촌치킨 송파1호점, 050-4898-9251, 서울특별시 송파구 송파동 103-31, 서울특별시 송파구 가락로 156 예빌딩, 321773, 544910
페리카나 송파한양점, 050-4898-9029, 서울특별시 송파구 송파1동 122-3, 서울특별시 송파구 가락로 173-1, 321885, 545061
네네치킨 수서점, 050-4898-9011, 서울특별시 강남구 수서동 712, 서울특별시 강남구 광평로51길 22 수서한아름아파트101동, 320959, 543383
네네치킨 송파방이2점, 050-4457-5894, 서울특별시 송파구 방이동 131-19, 서울특별시 송파구 가락로36길 15, 322373, 545633
BHC치킨 송파한양점, 050-7458-0495, 서울특별시 송파구 송파2동 183, 서울특별시 송파구 송파대로36가길 15-22, 322079, 544629
굽네치킨 방이점, 050-4457-9486, 서울특별시 송파구 방이동 159-5, 서울특별시 송파구 가락로 267, 322322, 545892
굽네치킨 잠실2호점, 0508-5199-0348, 서울특별시 송파구 잠실동 44-3 레이크팰리스아파트상가 135호, 서울특별시 송파구 석촌호수로 135 레이크팰리스, 319974, 545428
페리카나 방이2점, 050-4898-9061, 서울특별시 송파구 방이동 159-16, 서울특별시 송파구 가락로 271 한일빌딩, 322339, 545936
BBQ 방이점, 050-4457-5836, 서울특별시 송파구 방이동 160-12, 서울특별시 송파구 가락로 268, 322344, 545878
또래오래 강남일원점, 050-4457-5598, 서울특별시 강남구 일원동 645-10, 서울특별시 강남구 일원로9길 72, 319490, 543593
교촌치킨 가락2호점, 050-4898-9254, 서울특별시 송파구 가락동 80 성원상떼빌 102동 120호, 서울특별시 송파구 송파대로28길 27 송파 성원상떼빌, 322455, 544047
BHC치킨 수서점, 050-4457-5613, 서울특별시 강남구 수서동 725-1, 서울특별시 강남구 광평로56길 8-9 목화오피스텔, 320908, 543144
교촌치킨 방이2호점, 050-4308-0083, 서울특별시 송파구 방이동 178-4, 서울특별시 송파구 백제고분로50길 11, 322068, 546143
굽네치킨 삼전점, 050-4457-9487, 서울특별시 송파구 삼전동 13, 서울특별시 송파구 백제고분로21길 20, 319797, 545215
BHC치킨 삼전점, 050-4457-9278, 서울특별시 송파구 삼전동 59-14, 서울특별시 송파구 백제고분로28길 14, 319895, 544807
굽네치킨 수서일원본동점, 050-4457-9491, 서울특별시 강남구 수서동 716 사이룩스 서관1층 111호, 서울특별시 강남구 광평로 295 사이룩스, 320953, 543286
또래오래 송파점, 050-4898-9052, 서울특별시 송파구 송파동 131-4, 서울특별시 송파구 백제고분로46길 22, 321810, 545433
BHC치킨 잠실나루점, 050-4457-9288, 서울특별시 송파구 신천동 7 장미B상가 지하1층 11호, 서울특별시 송파구 올림픽로35길 112 장미B상가, 320794, 546577
굽네치킨 송파점, 050-7724-5970, 서울특별시 송파구 송파2동 102-1, 서울특별시 송파구 송이로2길 3, 321926, 545016
BBQ 송파삼전점, 050-4457-7770, 서울특별시 송파구 삼전동 61-14 1층, 서울특별시 송파구 백제고분로28길 8 한양빌, 319917, 544861
또래오래 송파신천점, 050-4898-9224, 서울특별시 송파구 신천동 11-9, 서울특별시 송파구 올림픽로35가길 11 한신잠실코아, 321003, 546400
네네치킨 잠실1호점, 02-418-4492, 서울특별시 송파구 신천동 11-9 한신오피스텔 103, 서울특별시 송파구 올림픽로35가길 11 한신잠실코아, 320977, 546423
쌀통닭 방이점, 050-4898-9209, 서울특별시 송파구 방이동 60-5, 서울특별시 송파구 올림픽로32길 21 남양빌딩, 321489, 546156
처갓집양념통닭 송파 케이준, 02-419-4734, 서울특별시 송파구 송파1동 135-18, 서울특별시 송파구 백제고분로 426 백양빌딩, 321669, 545556
땅땅치킨 석촌역점, 02-417-8292, 서울특별시 송파구 송파동 16-6, 서울특별시 송파구 백제고분로41길 13, 321318, 545382
BHC치킨 방이본점, 02-418-9992, 서울특별시 송파구 방이동 70, 서울특별시 송파구 올림픽로32길 29 유성빌딩, 321513, 546080
BHC치킨 가락점, 02-404-2010, 서울특별시 송파구 가락동 159-6, 서울특별시 송파구 송이로14길 3, 322311, 544489
치킨매니아 방이1호점, 02-424-9245, 서울특별시 송파구 방이동 162 1층, 서울특별시 송파구 가락로42길 14 왕천시티빌딩, 322485, 545907
BHC치킨 잠실푸르지오점, 050-4457-5880, 서울특별시 송파구 신천동 11-4, 서울특별시 송파구 올림픽로35가길 9, 320945, 546522
치킨매니아 잠실1호점, 050-4570-4835, 서울특별시 송파구 삼전동 22-9, 서울특별시 송파구 석촌호수로 152 광원빌딩, 320087, 545357
죽채통닭 송파훼미리점, 02-2043-0410, 서울특별시 송파구 문정동 150-20 올림픽훼밀리타운 상가1동 102-1호, 서울특별시 송파구 중대로 24 올림픽훼밀리타운 상가1동 102-1호, 322139, 543588
작살치킨 송파구청점, 02-422-2214, 서울특별시 송파구 신천동 17-6 크로바상가 1층, 서울특별시 송파구 올림픽로 329 크로바아파트상가, 321234, 546350
멕시카나 송파점, 02-2202-7292, 서울특별시 송파구 송파동 104-10, 서울특별시 송파구 가락로 159, 321786, 544966
BHC치킨 잠실3동점, 02-413-8292, 서울특별시 송파구 삼전동 22-4, 서울특별시 송파구 석촌호수로 142, 319993, 545376
멕시카나치킨 수서점, 02-451-8002, 서울특별시 강남구 수서동 736 신동아아파트상가, 서울특별시 강남구 광평로47길 17 신동아아파트 유치원, 320570, 543174
강정이기가막혀 송파방이1점, 02-416-9285, 서울특별시 송파구 송파동 111-28, 서울특별시 송파구 송파대로42길 22, 321524, 545206
BBQ 패밀리타운점, 02-404-8480, 서울특별시 송파구 문정동 150-25 1층, 서울특별시 송파구 중대로 64 진현빌딩, 322021, 543632
BBQ치킨 잠실석촌호수점, 02-415-8582, 서울특별시 송파구 송파동 42-1, 서울특별시 송파구 백제고분로45길 17, 321477, 545655
페리카나 진주점, 02-416-2136, 서울특별시 송파구 신천동 20-4, 서울특별시 송파구 올림픽로 399 진주아파트, 321617, 546620
오늘통닭 송파점, 02-3012-9292, 서울특별시 송파구 방이동 226-7, 서울특별시 송파구 오금로 247, 322488, 545275
지정환임실치즈피자 송파가락점, 02-418-8284, 서울특별시 송파구 송파동 174-6, 서울특별시 송파구 송이로 20 월드빌, 322044, 544933
